Date,Time,Weight,BF
19/01/2019,12:43,76.2,17
19/01/2019,13:21,76.4,14
19/01/2019,13:21,76.2,16
19/01/2019,13:33,76.2,17
10/02/2019,14:09,75.6,18
17/02/2019,19:55,76,16
20/02/2019,10:00,73.6,17
21/02/2019,10:00,74.4,18
25/02/2019,17:55,73.6,16
9/03/2019,9:30,74,18
20/03/2019,6:15,73,17
21/03/2019,12:30,73.4,16
24/03/2019,10:00,74.4,17
31/03/2019,22:51,75.2,14
2/04/2019,19:00,74,18
4/04/2019,18:35,74.7,17
5/04/2019,14:03,73.2,17
6/04/2019,23:59,75.6,16
10/04/2019,7:30,73.4,18
12/04/2019,22:00,74.2,16
16/04/2019,6:38,73.8,19
17/04/2019,21:00,74.2,16
21/04/2019,20:52,74.5,15
22/04/2019,8:00,74.4,17
25/04/2019,17:00,73.6,19
7/06/2019,15:17,74.4,18
18/06/2019,10:00,74.8,19
18/06/2019,21:33,75.8,17
25/06/2019,15:00,74.2,19
27/06/2019,21:00,76.2,14
28/06/2019,21:00,76,16
29/06/2019,21:00,76.2,20
2/07/2019,13:03,74.4,18
4/07/2019,22:37,75.8,20
7/07/2019,15:00,74.6,17
9/07/2019,14:30,75.6,20
16/07/2019,10:00,74.6,18
16/07/2019,12:00,74,18
21/07/2019,20:53,75.4,16
23/07/2019,7:44,75,16
24/07/2019,20:30,75.2,17
28/07/2019,16:00,76,18
28/07/2019,17:00,75.2,17
29/07/2019,8:00,76,19
30/07/2019,8:00,76.2,19
31/07/2019,17:15,75.6,17
4/08/2019,21:14,75,17
5/08/2019,21:00,75,17
7/08/2019,21:00,75.6,18
11/08/2019,17:22,74.6,17
18/08/2019,22:00,76,17
19/08/2019,7:00,76.4,17
20/08/2019,17:00,74.2,18
21/08/2019,7:00,73.8,18
24/08/2019,22:00,75.8,17
29/08/2019,12:30,74,19
1/09/2019,21:00,75,16
